Longitude,Latitude
-86.56944062,24.02934382
-86.455212,24.01724935
-86.34101683,24.0050244
-86.22685548,23.99266905
-86.11272828,23.98018337
-85.99863557,23.96756746
-85.8845777,23.95482138
-85.77055502,23.94194523
-85.65656786,23.92893908
-85.54261657,23.91580302
-85.42870149,23.90253714
-85.31482296,23.88914151
-85.20098132,23.87561623
-85.08717691,23.86196138
-84.97341007,23.84817705
-84.85968113,23.83426333
-84.74599044,23.82022031
-84.63233832,23.80604808
-84.51872512,23.79174672
-84.40515116,23.77731634
-84.29161679,23.76275702
-84.17812234,23.74806886
-84.06466814,23.73325195
-83.95125452,23.71830638
-83.83788181,23.70323226
-83.72455035,23.68802968
-83.61126046,23.67269874
-83.49801247,23.65723953
-83.38480671,23.64165216
-83.27164352,23.62593672
-83.15852321,23.61009331
-83.04544611,23.59412204
-82.93241254,23.57802301
-82.81942284,23.56179632
-82.70647732,23.54544207
-82.59357631,23.52896038
-82.48072013,23.51235134
-82.3679091,23.49561506
-82.25514354,23.47875164
-82.14242377,23.46176121
-82.02975011,23.44464386
-81.91712288,23.4273997
-81.80454239,23.41002884
-81.69200897,23.3925314
-81.57952291,23.37490748
-81.46708455,23.35715721
-81.3546942,23.33928068
-81.24235215,23.32127802
-81.13005874,23.30314933
-81.01781427,23.28489474
-80.90561905,23.26651437
-80.79347339,23.24800831
-80.6813776,23.22937671
-80.56933198,23.21061967
-80.45733685,23.19173731
-80.3453925,23.17272975
-80.23349925,23.15359712
-80.12165739,23.13433953
-80.00986724,23.1149571
-79.89812909,23.09544997
-79.78644324,23.07581825
-79.67481,23.05606207
-79.56322966,23.03618155
-79.45170253,23.01617681
-79.34022889,22.99604799
-79.22880905,22.97579522
-79.11744331,22.95541861
-79.00613195,22.9349183
-78.89487527,22.91429442
-78.78367357,22.8935471
-78.67252714,22.87267647
-78.56143626,22.85168266
-78.45040124,22.8305658
-78.33942234,22.80932603
-78.22849988,22.78796348
-78.11763412,22.76647828
-78.00682537,22.74487058
-77.8960739,22.7231405
-77.78538,22.70128818
-77.67474395,22.67931376
-77.56416603,22.65721738
-77.45364653,22.63499917
-77.34318572,22.61265928
-77.23278389,22.59019785
-77.12244132,22.56761502
-77.01215827,22.54491092
-76.90193503,22.5220857
-76.79177188,22.49913951
-76.68166908,22.47607248
-76.57162691,22.45288477
-76.46164565,22.42957651
-76.35172556,22.40614786
-76.24186691,22.38259896
-76.13206998,22.35892995
-76.02233503,22.33514098
-75.91266233,22.31123221
-75.80305215,22.28720377
-75.69350474,22.26305583
-75.58402038,22.23878853
